adult,belongs_to_collection,budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count
0,0.0066844919786096255,15000000,0.10526315789473684,0.0,2.936443,0.03515413737155219,0.0,1996.0,2042530.0,90.0,0.0,3.9,16.0
0,0.08689839572192513,20000000,0.10855263157894736,0.0,12.758848,0.0360555255092843,0.06116207951070336,1995.0,5781885.0,108.0,0.0,6.1,154.0
0,0.0066844919786096255,8000000,0.03289473684210526,0.0,4.486179,0.03695691364701641,0.0,1995.0,529766.0,116.0,0.0,6.7,87.0
0,0.0066844919786096255,38000000,0.11184210526315788,0.0,9.568604,0.03785830178474851,0.0,1996.0,10300000.0,129.0,0.06097560975609757,6.3,86.0
0,0.0066844919786096255,0,0.009868421052631578,0.0,8.963037,0.03875968992248062,0.0,1996.0,32.0,87.0,0.0,6.0,124.0
0,0.0066844919786096255,8169363,0.11513157894736842,0.0,6.848591,0.03875968992248062,0.0,1995.0,8175346.0,90.0,0.0,6.1,190.0
0,0.0066844919786096255,47000000,0.11842105263157894,0.0,12.866139,0.039661078060212726,0.0,1996.0,12379402.0,104.0,0.0,5.7,77.0
0,0.0066844919786096255,14000000,0.12171052631578946,0.0,9.071127,0.03875968992248062,0.0,1995.0,19800000.0,100.0,0.0,4.5,113.0
0,0.0066844919786096255,50000000,0.125,0.0,14.957626,0.04056246619794483,0.0,1996.0,150270147.0,108.0,0.0,5.7,459.0
0,0.0066844919786096255,7000000,0.1282894736842105,0.0,6.904831,0.04146385433567694,0.0,1996.0,560069.0,91.0,0.06775067750677508,6.8,285.0
0,0.0066844919786096255,12000000,0.009868421052631578,0.0,9.592265,0.04236524247340905,0.0,1996.0,41205099.0,92.0,0.0,6.5,767.0
0,0.0066844919786096255,24000000,0.03618421052631579,0.0,5.951077,0.04326663061114116,0.0,1995.0,182016617.0,135.0,0.0,7.3,397.0
0,0.09358288770053476,0,0.13157894736842105,0.0,6.902423,0.044168018748873265,0.0,1996.0,34327391.0,100.0,0.0,6.5,93.0
0,0.0066844919786096255,72000000,0.13486842105263158,0.0,20.755149,0.04506940688660537,0.0,1995.0,210000000.0,177.0,0.07452574525745258,7.7,3404.0
0,0.0066844919786096255,1300000,0.1381578947368421,0.0,14.092713,0.04597079502433748,0.0,1976.0,28262574.0,114.0,0.013550135501355014,8.1,2632.0
0,0.0066844919786096255,7500000,0.14144736842105263,0.23255813953488372,12.314278,0.046872183162069585,0.06880733944954129,1995.0,32392047.0,91.0,0.08130081300813008,6.5,245.0
0,0.0066844919786096255,0,0.14473684210526316,0.0,0.243986,0.04777357129980169,0.0764525993883792,1995.0,1.0,117.0,0.0,7.3,4.0
0,0.0066844919786096255,25000000,0.14802631578947367,0.0,1.522412,0.048674959437533805,0.0,1995.0,6278139.0,113.0,0.0,5.1,7.0
0,0.0066844919786096255,40000000,0.08881578947368421,0.0,6.506983,0.03875968992248062,0.0,1992.0,70100000.0,117.0,0.0880758807588076,5.4,139.0
0,0.0066844919786096255,7000000,0.08881578947368421,0.0,5.579088,0.03695691364701641,0.0,1996.0,14702438.0,92.0,0.0,6.3,66.0
0,0.0066844919786096255,50000000,0.1513157894736842,0.0,11.418917,0.03875968992248062,0.0,1995.0,9851610.0,95.0,0.0,5.1,45.0
0,0.0066844919786096255,0,0.009868421052631578,0.0,0.540436,0.04777357129980169,0.0,1995.0,209935.0,86.0,0.0,3.8,2.0
0,0.0066844919786096255,31000000,0.009868421052631578,0.0,6.49968,0.04957634757526591,0.0,1996.0,185260553.0,117.0,0.006775067750677507,6.7,303.0
0,0.10026737967914438,19000000,0.15460526315789472,0.0,9.262184,0.05047773571299802,0.0,1995.0,141407024.0,118.0,0.0,6.5,1729.0
0,0.0066844919786096255,4000000,0.15789473684210525,0.0,0.922958,0.051379123850730124,0.08409785932721713,1995.0,851545.0,113.0,0.0,6.0,11.0
0,0.0066844919786096255,52000000,0.06907894736842105,0.0,18.761467,0.05228051198846223,0.0,1995.0,355237933.0,140.0,0.0,7.3,1637.0
0,0.0066844919786096255,28000000,0.1611842105263158,0.0,10.193549,0.05318190012619434,0.00764525993883792,1995.0,31596911.0,139.0,0.0,6.5,151.0
0,0.10695187165775401,100000000,0.1644736842105263,0.0,13.321354,0.05408328826392644,0.00764525993883792,1995.0,336529144.0,121.0,0.0,5.2,1529.0
0,0.11363636363636363,2000000,0.009868421052631578,0.0,11.528147,0.05498467640165856,0.0,1995.0,1275000.0,83.0,0.0,6.8,28.0
0,0.0066844919786096255,11000000,0.16776315789473684,0.0,5.391556,0.05588606453939066,0.09174311926605505,1995.0,178104.0,91.0,0.0,5.9,57.0
0,0.12032085561497326,50000000,0.17105263157894735,0.0,12.812539,0.05678745267712277,0.0,1995.0,287928194.0,100.0,0.0,6.0,1045.0
